Name,X,Y,Angle,Value,Package
AMP_1_VOL,16.51,28.25,0.00,,9MM_SNAP-IN_POT
AMP_2_VOL,41.91,28.25,0.00,,9MM_SNAP-IN_POT
C1,25.40,10.16,90.00,10uf,CAPM3216X180
C10,10.16,16.51,270.00,.1uf,CAPC1005X60
C2,31.75,10.16,90.00,10uf,CAPM3216X180
C3,48.26,24.13,270.00,.1uf,CAPC1005X60
C4,30.25,32.29,180.00,.1uf,CAPC1005X60
C5,30.48,16.51,270.00,.1uf,CAPC1005X60
C6,26.67,31.12,90.00,.1uf,CAPC1005X60
C7,10.13,24.13,270.00,.1uf,CAPC1005X60
C8,48.26,16.51,270.00,.1uf,CAPC1005X60
C9,34.29,35.56,0.00,.1uf,CAPC1005X60
CV_1,16.51,7.67,0.00,THONKICONNNEW,WQP-PJ301M-12_JACK
CV_2,52.07,7.59,0.00,THONKICONNNEW,WQP-PJ301M-12_JACK
IC1,48.26,20.32,90.00,TL074HIDYYR,SOP50P326X110-14N
IC2,10.16,20.32,90.00,TL074HIDYYR,SOP50P326X110-14N
R1,6.35,15.88,270.00,100K,RESC1005X40
R10,41.91,15.88,270.00,100K,RESC1005X40
R11,22.86,28.58,90.00,10k,RESC1005X40
R12,27.30,20.32,270.00,100R,RESC1005X40
R13,50.80,39.37,180.00,220R,RESC1005X40
R14,16.51,15.88,270.00,100K,RESC1005X40
R15,19.05,16.51,0.00,22k,RESC1005X40
R16,19.05,2.54,270.00,100K,RESC1005X40
R18,39.37,16.51,180.00,22k,RESC1005X40
R19,39.37,2.54,270.00,100K,RESC1005X40
R2,34.29,12.70,0.00,100R,RESC1005X40
R20,52.07,15.88,270.00,100K,RESC1005X40
R21,54.61,16.51,0.00,22k,RESC1005X40
R22,49.53,2.54,270.00,100K,RESC1005X40
R23,35.56,27.94,270.00,10k,RESC1005X40
R24,35.56,20.32,90.00,100R,RESC1005X40
R25,6.35,29.21,270.00,3.6k,RESC1005X40
R3,29.21,7.62,90.00,100k,RESC1005X40
R4,24.88,13.97,90.00,100R,RESC1005X40
R5,22.86,6.73,90.00,100k,RESC1005X40
R6,50.80,34.29,0.00,3.6k,RESC1005X40
R7,6.35,34.29,90.00,220R,RESC1005X40
R8,4.19,16.51,180.00,22k,RESC1005X40
R9,3.81,2.54,270.00,100K,RESC1005X40
S1,28.64,39.24,0.00,2MS6T1B3M2QES,2MS6T1B3M2QES
SIGNAL_1,6.35,7.67,0.00,THONKICONNNEW,WQP-PJ301M-12_JACK
SIGNAL_2,41.91,7.59,0.00,THONKICONNNEW,WQP-PJ301M-12_JACK
